,Player,Giá chuyển nhượng
192,Ryan Yates,€12.4M
193,Mathias Jensen,€12.3M
194,Ibrahim Sangaré,€12.1M
195,Lloyd Kelly,€12M
196,Orel Mangala,€11.9M
197,Issa Diop,€11.8M
198,Tosin Adarabioyo,€11.5M
199,Jarell Quansah,€11.3M
200,Dean Henderson,€11.3M
201,Daniel Muñoz,€11M
202,Lyle Foster,€10.2M
203,Josh Cullen,€10M
204,Jean-Philippe Mateta,€9.9M
205,Ethan Pinnock,€9.8M
206,Keane Lewis-Potter,€9.7M
207,Kalvin Phillips,€9.6M
208,Conor Bradley,€9.5M
209,Caoimhín Kelleher,€9.5M
210,Enes Ünal,€9.4M
211,Jefferson Lerma,€9.3M
212,Dominic Calvert-Lewin,€9.3M
213,Harrison Reed,€9.3M
214,Nélson Semedo,€9.2M
215,Mikkel Damsgaard,€9.1M
216,Arijanet Muric,€9M
217,Tommy Doyle,€9M
218,Matz Sels,€9M
219,Sam Johnstone,€9M
220,Marcos Senesi,€8.9M
221,Lesley Ugochukwu,€8.8M
222,William Osula,€8.7M
223,Lewis Hall,€8.7M
224,Julio Enciso,€8.6M
225,Gustavo Hamer,€8.4M
226,Neco Williams,€8.3M
227,Jordan Beyer,€8.2M
228,Victor Lindelöf,€8.2M
229,Saša Lukić,€8.2M
230,Konstantinos Mavropanos,€8.1M
231,Kieran Trippier,€8M
232,Oscar Bobb,€8M
233,Taiwo Awoniyi,€7.9M
234,Nick Pope,€7.9M
235,Philip Billing,€7.9M
236,Chiedozie Ogbene,€7.9M
237,Jean-Ricner Bellegarde,€7.5M
238,Maxwel Cornet,€7.5M
239,Santiago Bueno,€7.5M
240,Alfie Doughty,€7.4M
241,Lucas Digne,€7.4M
242,Mark Flekken,€7.3M
243,Adam Webster,€7.3M
244,Kevin Schade,€7.3M
245,Oliver Arblaster,€7.3M
246,Luis Sinisterra,€7.3M
247,Beto,€7.2M
248,Mike Trésor,€6.9M
249,Teden Mengi,€6.8M
250,Aaron Ramsey,€6.8M
251,Luca Koleosho,€6.8M
252,Andrew Omobamidele,€6.4M
253,Jordan Ayew,€6.3M
254,Carlton Morris,€6.3M
255,Mads Roerslev,€6.2M
256,Jaidon Anthony,€6.1M
257,Jacob Brown,€6.1M
258,Álex Moreno,€6M
259,Ben Davies,€6M
260,Rodrigo Muniz,€5.9M
261,Alex Scott,€5.9M
262,Vladimír Coufal,€5.8M
263,Jorginho,€5.7M
264,Harry Maguire,€5.6M
265,Matheus França,€5.5M
266,Reiss Nelson,€5.5M
267,Sasa Kalajdzic,€5.1M
268,Fabian Schär,€5.1M
269,Emerson,€5M
270,Ben Johnson,€4.9M
271,Alphonse Areola,€4.8M
272,Alfie Gilchrist,€4.7M
273,Thomas Partey,€4.7M
274,Diego Carlos,€4.6M
275,Callum Wilson,€4.5M
276,Joe Worrall,€4.5M
277,Mario Lemina,€3.6M
278,Matt Doherty,€3.6M
279,Luke Thomas,€3.6M
280,Youssef Chermiti,€3.6M
281,Tim Iroegbunam,€3.6M
282,Carney Chukwuemeka,€3.5M
283,Nathan Patterson,€3.5M
284,Pablo Sarabia,€3.4M
285,Boubacar Traoré,€3.4M
286,Abdoulaye Doucouré,€3.3M
287,Adam Smith,€3.3M
288,Nathan Redmond,€3.3M
289,Joël Veltman,€3.2M
290,Sergio Reguilón,€3.2M
291,Connor Roberts,€3.2M
292,Mark Travers,€3.2M
293,Tariq Lamptey,€3M
294,Michail Antonio,€3M
295,Ben Mee,€2.9M
296,Neto,€2.9M
297,Tom Davies,€2.9M
298,Craig Dawson,€2.8M
299,Ross Barkley,€2.7M
300,Thomas Kaminski,€2.6M
301,Hjalmar Ekdal,€2.6M
302,Jeffrey Schlupp,€2.6M
303,Marvelous Nakamba,€2.5M
304,Elijah Adebayo,€2.5M
305,Carlos Vinícius,€2.5M
306,Kieffer Moore,€2.4M
307,Will Hughes,€2.3M
308,David Brooks,€2.2M
309,Amari'i Bell,€2.1M
310,Raúl Jiménez,€2.1M
311,Wes Foderingham,€2M
312,Daiki Hashioka,€1.9M
313,Jamaal Lascelles,€1.9M
314,Harry Toffolo,€1.8M
315,Danny Ings,€1.8M
316,Stefan Ortega,€1.8M
317,Jakub Moder,€1.7M
318,Jonny Evans,€1.6M
319,Nathaniel Clyne,€1.6M
320,John Egan,€1.5M
321,Tom Lockyer,€1.5M
322,Séamus Coleman,€1.5M
323,Emil Krafth,€1.5M
324,Benson Manuel,€1.5M
325,Matt Turner,€1.4M
326,Hannes Delcroix,€1.4M
327,Pelly Ruddock Mpanzu,€1.4M
328,Ashley Young,€1.3M
329,Reece Burke,€1.2M
330,Rhian Brewster,€1.2M
331,Rhys Norrington-Davies,€1.2M
332,Michael Keane,€1.2M
333,Jack Robinson,€1.2M
334,Tom Cairney,€1M
335,Aaron Cresswell,€1.0M
336,Willy Boly,€0.9M
337,Jason Steele,€0.9M
338,Daniel Bentley,€0.9M
339,Cauley Woodrow,€0.9M
340,Jordan Clark,€0.9M
341,Adam Lallana,€0.8M
342,Martin Dúbravka,€0.8M
343,Robin Olsen,€0.6M
344,Shandon Baptiste,€0.4M
